iter	Passed	Remaining
0	143	143179
1	144	72002
2	145	48326
3	146	36435
4	149	29664
5	150	25011
6	152	21573
7	152	18954
8	153	16938
9	154	15314
10	155	13979
11	156	12888
12	157	11960
13	158	11165
14	159	10477
15	160	9869
16	162	9370
17	163	8907
18	164	8480
19	165	8086
20	165	7722
21	166	7392
22	167	7107
23	168	6841
24	168	6584
25	169	6360
26	171	6172
27	172	5982
28	174	5837
29	175	5683
30	177	5535
31	178	5390
32	179	5251
33	180	5120
34	182	5022
35	183	4911
36	184	4807
37	185	4697
38	186	4590
39	188	4512
40	189	4434
41	190	4352
42	191	4272
43	192	4190
44	193	4112
45	195	4048
46	196	3986
47	197	3922
48	198	3855
49	199	3790
50	200	3723
51	200	3659
52	203	3632
53	204	3581
54	205	3530
55	206	3483
56	207	3439
57	208	3393
58	210	3351
59	211	3308
60	212	3265
61	212	3220
62	213	3178
63	214	3136
64	215	3094
65	216	3070
66	218	3040
67	219	3007
68	220	2972
69	221	2940
70	222	2909
71	223	2887
72	225	2858
73	226	2828
74	227	2799
75	227	2767
76	228	2735
77	228	2704
78	229	2674
79	229	2644
80	232	2635
81	234	2621
82	234	2596
83	236	2574
84	237	2554
85	238	2531
86	239	2510
87	240	2487
88	240	2463
89	241	2446
90	243	2427
91	243	2406
92	244	2384
93	246	2377
94	247	2360
95	250	2357
96	251	2341
97	252	2324
98	253	2306
99	254	2294
100	255	2275
101	256	2256
102	257	2240
103	258	2224
104	259	2209
105	261	2206
106	262	2191
107	263	2174
108	263	2156
109	264	2139
110	265	2125
111	266	2114
112	267	2099
113	268	2084
114	268	2069
115	269	2052
116	269	2035
117	270	2020
118	270	2006
119	272	1995
120	272	1982
121	273	1969
122	276	1973
123	277	1963
124	278	1949
125	279	1937
126	280	1925
127	281	1915
128	281	1904
129	282	1890
130	283	1877
131	283	1864
132	284	1851
133	285	1841
134	285	1830
135	286	1818
136	286	1806
137	287	1794
138	287	1783
139	288	1772
140	289	1762
141	291	1760
142	292	1750
143	293	1742
144	294	1737
145	296	1731
146	296	1723
147	298	1719
148	299	1709
149	300	1701
150	301	1694
151	302	1687
152	303	1681
153	305	1679
154	307	1676
155	308	1670
156	309	1662
157	310	1656
158	311	1647
159	312	1641
160	313	1632
161	314	1625
162	315	1620
163	316	1611
164	317	1607
165	318	1600
166	319	1591
167	325	1609
168	326	1606
169	327	1599
170	328	1591
171	329	1584
172	329	1575
173	331	1572
174	332	1569
175	333	1561
176	334	1553
177	334	1545
178	336	1541
179	338	1541
180	340	1539
181	340	1532
182	342	1527
183	342	1520
184	343	1515
185	345	1511
186	346	1504
187	346	1497
188	347	1492
189	348	1485
190	349	1479
191	351	1480
192	352	1475
193	353	1469
194	354	1464
195	355	1458
196	356	1451
197	357	1446
198	358	1442
199	360	1442
200	361	1437
201	362	1433
202	364	1431
203	369	1440
204	370	1434
205	370	1428
206	371	1422
207	372	1416
208	373	1411
209	374	1409
210	376	1406
211	376	1400
212	377	1394
213	378	1391
214	379	1386
215	381	1384
216	384	1385
217	385	1382
218	386	1377
219	387	1373
220	389	1371
221	389	1366
222	390	1360
223	391	1356
224	392	1350
225	393	1346
226	394	1342
227	395	1340
228	398	1340
229	399	1336
230	400	1331
231	401	1328
232	402	1325
233	403	1320
234	404	1317
235	405	1314
236	406	1309
237	407	1304
238	408	1299
239	408	1294
240	410	1291
241	412	1291
242	413	1286
243	413	1281
244	414	1276
245	415	1273
246	416	1269
247	417	1266
248	418	1261
249	419	1257
250	420	1255
251	421	1251
252	422	1248
253	424	1245
254	426	1244
255	427	1241
256	428	1238
257	430	1236
258	431	1233
259	432	1230
260	433	1227
261	434	1223
262	435	1219
263	435	1215
264	436	1211
265	437	1207
266	439	1205
267	440	1203
268	441	1200
269	443	1197
270	444	1195
271	445	1191
272	446	1188
273	447	1185
274	448	1182
275	449	1179
276	450	1176
277	451	1173
278	455	1178
279	456	1174
280	457	1171
281	459	1169
282	460	1167
283	461	1164
284	462	1161
285	464	1158
286	465	1156
287	466	1153
288	468	1152
289	470	1151
290	471	1149
291	473	1147
292	474	1145
293	475	1142
294	477	1140
295	478	1137
296	479	1134
297	480	1131
298	481	1128
299	485	1132
300	486	1130
301	488	1127
302	489	1125
303	490	1123
304	491	1120
305	492	1117
306	493	1114
307	494	1111
308	495	1108
309	499	1111
310	501	1111
311	502	1108
312	503	1104
313	504	1101
314	505	1100
315	507	1097
316	508	1095
317	509	1093
318	513	1097
319	515	1095
320	516	1093
321	518	1091
322	519	1089
323	521	1087
324	522	1085
325	523	1082
326	526	1084
327	529	1083
328	530	1081
329	531	1078
330	537	1085
331	538	1082
332	540	1081
333	542	1081
334	543	1078
335	544	1076
336	545	1073
337	547	1071
338	548	1068
339	548	1065
340	549	1062
341	551	1060
342	552	1057
343	552	1053
344	554	1052
345	556	1051
346	556	1048
347	557	1044
348	558	1041
349	559	1038
350	560	1035
351	561	1033
352	562	1030
353	563	1027
354	564	1025
355	564	1021
356	565	1018
357	566	1015
358	566	1012
359	567	1009
360	569	1008
361	570	1005
362	571	1003
363	573	1001
364	574	999
365	575	996
366	576	994
367	577	990
368	578	989
369	579	987
370	580	984
371	581	981
372	582	978
373	582	975
374	584	973
375	585	971
376	587	970
377	588	967
378	589	965
379	589	962
380	590	959
381	591	956
382	592	953
383	593	952
384	594	949
385	595	947
386	596	944
387	596	941
388	597	938
389	599	937
390	601	936
391	602	935
392	604	933
393	605	931
394	606	929
395	607	926
396	608	923
397	608	921
398	609	918
399	610	915
400	611	912
401	612	910
402	615	911
403	616	909
404	617	907
405	618	904
406	619	901
407	620	899
408	621	897
409	622	895
410	623	892
411	623	890
412	624	888
413	625	885
414	626	882
415	627	881
416	630	881
417	631	878
418	631	876
419	632	873
420	633	870
421	633	868
422	635	866
423	635	863
424	636	861
425	638	860
426	639	857
427	640	855
428	640	853
429	642	851
430	644	850
431	645	848
432	646	846
433	647	844
434	648	841
435	648	839
436	650	837
437	651	835
438	652	833
439	652	830
440	653	828
441	654	825
442	654	823
443	655	820
444	656	818
445	657	816
446	659	815
447	660	813
448	661	811
449	662	809
450	662	806
451	664	805
452	665	803
453	666	801
454	667	799
455	668	798
456	669	795
457	670	793
458	670	790
459	672	788
460	674	789
461	675	786
462	676	784
463	677	782
464	678	780
465	679	778
466	680	776
467	681	774
468	682	772
469	683	771
470	684	769
471	685	767
472	688	766
473	689	764
474	690	763
475	692	761
476	692	759
